UTF-8, TVPaint, "CSV 1.0"
Project Name, Width, Height, Frame Count, Layer Count, Frame Rate, Pixel Aspect Ratio, Field Mode
"C010", 579, 443, 96, 7, 24.000000, 1.000000, Progressive

#Layers,"peg","frame","D","C","B","A","BG"
#Folder,"/Users/Shared/workshop/Development/Remaping/Sample_source/C_10/C010_v1.0.layers/Layer 001","/Users/Shared/workshop/Development/Remaping/Sample_source/C_10/C010_v1.0.layers/Layer 002","/Users/Shared/workshop/Development/Remaping/Sample_source/C_10/C010_v1.0.layers/Layer 003","/Users/Shared/workshop/Development/Remaping/Sample_source/C_10/C010_v1.0.layers/Layer 004","/Users/Shared/workshop/Development/Remaping/Sample_source/C_10/C010_v1.0.layers/Layer 005","/Users/Shared/workshop/Development/Remaping/Sample_source/C_10/C010_v1.0.layers/Layer 006","/Users/Shared/workshop/Development/Remaping/Sample_source/C_10/C010_v1.0.layers/Layer 007"
#Density,1.000000,0.317647,1.000000,1.000000,1.000000,1.000000,1.000000
#Blending,"Difference", "Color", "Multiply", "Multiply", "Multiply", "Color", "Color"
#Visible,1, 1, 1, 1, 1, 1, 1
#00000, "001_peg_00000.png", "002_frame_00000.png", "003_D_00000.png", "004_C_00000.png", "005_B_00000.png", "006_A_00000.png", "007_BG_00000.png"
#00001, " ", " ", " ", " ", " ", " ", " "
#00002, " ", " ", " ", " ", " ", " ", " "
#00003, " ", " ", "003_D_00003.png", " ", " ", " ", " "
#00004, " ", " ", " ", " ", " ", " ", " "
#00005, " ", " ", " ", " ", " ", " ", " "
#00006, " ", " ", " ", "004_C_00006.png", "005_B_00006.png", " ", " "
#00007, " ", " ", " ", " ", " ", " ", " "
#00008, " ", " ", " ", " ", " ", " ", " "
#00009, " ", " ", " ", "004_C_00009.png", "005_B_00009.png", " ", " "
#00010, " ", " ", " ", " ", " ", " ", " "
#00011, " ", " ", " ", " ", " ", " ", " "
#00012, " ", " ", " ", "004_C_00012.png", "005_B_00012.png", " ", " "
#00013, " ", " ", " ", " ", " ", " ", " "
#00014, " ", " ", " ", " ", " ", " ", " "
#00015, " ", " ", " ", " ", "005_B_00015.png", " ", " "
#00016, " ", " ", " ", " ", " ", " ", " "
#00017, " ", " ", " ", " ", " ", " ", " "
#00018, " ", " ", "003_D_00018.png", "004_C_00018.png", "005_B_00018.png", " ", " "
#00019, " ", " ", " ", " ", " ", " ", " "
#00020, " ", " ", " ", " ", " ", " ", " "
#00021, " ", " ", " ", "004_C_00021.png", "005_B_00021.png", " ", " "
#00022, " ", " ", " ", " ", " ", " ", " "
#00023, " ", " ", "003_D_00000.png", " ", " ", " ", " "
#00024, " ", " ", " ", "004_C_00000.png", "005_B_00024.png", " ", " "
#00025, " ", " ", " ", " ", " ", " ", " "
#00026, " ", " ", "003_D_00003.png", " ", " ", " ", " "
#00027, " ", " ", " ", " ", " ", " ", " "
#00028, " ", " ", " ", " ", " ", " ", " "
#00029, " ", " ", " ", " ", " ", " ", " "
#00030, " ", " ", " ", "004_C_00006.png", "005_B_00030.png", " ", " "
#00031, " ", " ", " ", " ", " ", " ", " "
#00032, " ", " ", " ", " ", " ", " ", " "
#00033, " ", " ", " ", "004_C_00009.png", "005_B_00033.png", " ", " "
#00034, " ", " ", " ", " ", " ", " ", " "
#00035, " ", " ", " ", " ", " ", " ", " "
#00036, " ", " ", " ", "004_C_00012.png", "005_B_00036.png", " ", " "
#00037, " ", " ", " ", " ", " ", " ", " "
#00038, " ", " ", " ", " ", " ", " ", " "
#00039, " ", " ", " ", " ", "005_B_00039.png", " ", " "
#00040, " ", " ", " ", " ", " ", " ", " "
#00041, " ", " ", "003_D_00018.png", " ", " ", " ", " "
#00042, " ", " ", " ", "004_C_00018.png", "005_B_00042.png", " ", " "
#00043, " ", " ", " ", " ", " ", " ", " "
#00044, " ", " ", " ", " ", " ", " ", " "
#00045, " ", " ", " ", "004_C_00021.png", "005_B_00045.png", " ", " "
#00046, " ", " ", "003_D_00000.png", " ", " ", " ", " "
#00047, " ", " ", " ", " ", " ", " ", " "
#00048, " ", " ", " ", "004_C_00000.png", "005_B_00048.png", " ", " "
#00049, " ", " ", "003_D_00003.png", " ", " ", " ", " "
#00050, " ", " ", " ", " ", " ", " ", " "
#00051, " ", " ", " ", " ", "005_B_00051.png", " ", " "
#00052, " ", " ", " ", " ", " ", " ", " "
#00053, " ", " ", " ", " ", " ", " ", " "
#00054, " ", " ", " ", "004_C_00006.png", "005_B_00054.png", " ", " "
#00055, " ", " ", " ", " ", " ", " ", " "
#00056, " ", " ", " ", " ", " ", " ", " "
#00057, " ", " ", " ", "004_C_00009.png", " ", " ", " "
#00058, " ", " ", " ", " ", " ", " ", " "
#00059, " ", " ", " ", " ", " ", " ", " "
#00060, " ", " ", " ", "004_C_00012.png", "005_B_00060.png", " ", " "
#00061, " ", " ", " ", " ", " ", " ", " "
#00062, " ", " ", " ", " ", " ", " ", " "
#00063, " ", " ", " ", " ", "005_B_00063.png", " ", " "
#00064, " ", " ", "003_D_00018.png", " ", " ", " ", " "
#00065, " ", " ", " ", " ", " ", " ", " "
#00066, " ", " ", " ", "004_C_00018.png", " ", " ", " "
#00067, " ", " ", " ", " ", " ", " ", " "
#00068, " ", " ", " ", " ", " ", " ", " "
#00069, " ", " ", "003_D_00000.png", "004_C_00021.png", "005_B_00069.png", " ", " "
#00070, " ", " ", " ", " ", " ", " ", " "
#00071, " ", " ", " ", " ", " ", " ", " "
